"cve_ent","poblacion","nombre","17-03-2020","18-03-2020","19-03-2020","20-03-2020","21-03-2020","22-03-2020","23-03-2020","24-03-2020","25-03-2020","26-03-2020","27-03-2020","28-03-2020","29-03-2020","30-03-2020","31-03-2020","01-04-2020","02-04-2020","03-04-2020","04-04-2020","05-04-2020","06-04-2020","07-04-2020","08-04-2020","09-04-2020","10-04-2020","11-04-2020","12-04-2020","13-04-2020","14-04-2020","15-04-2020","16-04-2020","17-04-2020","18-04-2020","19-04-2020","20-04-2020","21-04-2020","22-04-2020","23-04-2020","24-04-2020","25-04-2020","26-04-2020","27-04-2020","28-04-2020","29-04-2020","30-04-2020","01-05-2020","02-05-2020","03-05-2020","04-05-2020","05-05-2020","06-05-2020","07-05-2020","08-05-2020"
"000","127792286","Nacional","0","2","0","1","0","1","1","2","2","8","6","13","8","11","21","18","25","31","29","26","52","53","45","47","56","61","59","65","75","80","63","80","85","103","108","109","117","114","135","134","132","127","113","136","124","134","126","100","116","104","70","28","4"
"01","1434635","AGUASCALIENTES","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","1","0","0","1","0","0","0","0","1","1","0","1","0","0","0","1","0","1","2","0"
"02","3634868","BAJA CALIFORNIA","0","0","0","0","0","0","0","0","0","0","0","0","1","2","2","2","5","2","5","1","10","5","6","5","6","9","11","6","10","14","10","14","12","16","10","11","14","13","21","11","11","25","13","18","11","13","8","3","7","11","7","1","0"
"03","804708","BAJA CALIFORNIA SUR","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","0","1","1","0","0","1","0","0","1","1","1","0","0","1","1","0","0","1","1","2","0","1","0","2","0","1","1","0","0","0","1","0","0","2","0","0"
"04","1000617","CAMPECHE","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","1","0","0","1","0","2","0","1","2","2","2","2","1","1","0","3","0","1","1","1","0","1","1","0","0"
"05","3218720","COAHUILA","0","0","0","0","0","0","0","0","0","0","0","1","0","1","1","0","2","2","0","2","1","4","0","1","1","0","0","1","3","1","3","0","0","2","4","2","2","2","2","2","2","0","2","0","0","0","1","1","3","0","3","0","0"
"06","785153","COLIMA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","1","0","1","1","0","0","0"
"07","5730367","CHIAPAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","1","0","0","0","0","0","0","0","1","0","0","1","1","0","0","0","1","1","1","0","1","3","0","0","3","1","0","0"
"08","3801487","CHIHUAHUA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","1","1","2","6","6","4","1","1","4","3","2","6","2","6","4","3","5","8","5","2","12","4","4","4","2","5","7","6","1","2","3","1","0","0","0"
"09","9018645","DISTRITO FEDERAL","0","0","0","0","0","0","1","0","1","3","3","1","2","4","6","5","5","7","4","4","15","9","5","16","19","19","6","12","18","18","19","12","17","19","13","25","17","17","21","24","21","16","18","17","29","28","20","28","17","24","5","2","0"
"10","1868996","DURANGO","0","1","0","0","0","0","0","1","0","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","1","0","0","0","1","0","0","1","2","1","0","0","0","0","0"
"11","6228175","GUANAJUATO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","1","1","0","0","0","2","1","0","3","0","0","0","2","3","3","1","2","2","0","0","2","3","3","2","3","2","1","3","2","0"
"12","3657048","GUERRERO","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","2","0","0","1","0","0","1","1","1","3","0","1","3","4","3","6","3","3","1","4","1","8","2","1","2","1","5","1","2","1","0","0","0"
"13","3086414","HIDALGO","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","1","0","1","0","0","0","0","2","0","0","0","0","0","2","3","0","0","2","1","0","0","2","1","0","7","5","1","4","1","2","7","1","5","5","2","3","3","1"
"14","8409693","JALISCO","0","0","0","1","0","0","0","0","0","2","0","0","0","0","1","0","2","0","0","1","0","1","1","0","1","1","0","0","0","0","1","1","0","2","1","1","3","1","3","2","0","1","2","2","2","0","3","1","3","2","4","1","0"
"15","17427790","MEXICO","0","1","0","0","0","1","0","0","0","0","0","3","1","0","2","0","4","3","4","4","4","9","6","2","5","9","11","10","11","17","7","8","18","11","17","18","17","18","25","18","23","15","14","25","13","18","21","12","19","8","5","4","0"
"16","4825401","MICHOACAN","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","2","1","0","1","0","1","1","1","1","0","4","1","0","2","0","1","2","4","0","1","3","2","4","3","1","3","4","5","2","1","1","1","0","0","0","0"
"17","2044058","MORELOS","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","1","0","0","0","0","1","1","1","0","0","0","0","3","1","2","1","2","0","3","3","2","5","5","2","3","6","3","8","6","5","7","9","4","3","4","0","1","0"
"18","1288571","NAYARIT","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","3","1","0","0","1","0","0","0","0","1","0","0","2","0","0","0","0","0","2","1","0","0","0","0","1","2","3","2","0","1","0"
"19","5610153","NUEVO LEON","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","2","0","0","0","0","0","0","0","0","1","0","0","1","1","0","2","1","1","1","1","3","1","2","1","1","3","1","2","3","1","0","0"
"20","4143593","OAXACA","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","0","1","0","0","1","0","1","1","0","1","1","1","1","4","1","0","1","3","0","1","4","1","1","1","4","2","3","2","0"
"21","6604451","PUEBLA","0","0","0","0","0","0","0","0","0","0","1","1","0","0","1","1","1","1","3","3","4","7","1","1","4","5","2","3","4","1","5","3","5","5","7","3","5","4","3","4","6","3","7","5","4","4","3","6","3","1","4","0","0"
"22","2279637","QUERETARO","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","1","1","0","0","1","1","0","0","0","0","0","1","0","0","0","1","1","1","0","1","1","1","1","1","2","1","0","0","0"
"23","1723259","QUINTANA ROO","0","0","0","0","0","0","0","0","0","1","1","1","0","0","2","1","2","2","1","1","2","2","3","3","2","2","4","5","3","0","1","4","6","7","10","8","5","7","14","10","8","11","9","8","9","8","4","6","1","3","0","0","0"
"24","2866142","SAN LUIS POTOSI","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","1","1","0","0","0","0","1","0","0","1","0","0","1","0","0","0","1","2","0","0","0","1"
"25","3156674","SINALOA","0","0","0","0","0","0","0","0","0","1","0","1","1","0","1","2","3","2","5","0","1","3","6","6","10","8","7","8","5","5","3","5","5","4","9","5","7","7","6","10","8","9","4","6","7","9","1","2","4","13","3","1","1"
"26","3074745","SONORA","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","2","1","1","1","1","0","1","3","0","1","2","0","1","0","0","3","2","2","0","1","1","0","2","1","1","0","0","1","0","1","0","0","0","0"
"27","2572287","TABASCO","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","3","0","1","0","3","3","0","1","1","0","1","2","4","5","3","3","10","9","8","7","3","10","9","8","9","9","5","8","8","8","15","11","5","12","3","11","3","1"
"28","3650602","TAMAULIPAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","1","0","1","0","0","0","0","0","0","0","1","1","0","1","0","0","3","0","0","2","0","3","1","2","1","0","3","1","3","1","0","1","3","0","0"
"29","1380011","TLAXCALA","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","3","0","1","0","0","1","0","2","0","2","1","1","1","2","2","3","4","3","3","1","3","1","6","3","3","2","0"
"30","8539862","VERACRUZ","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","1","0","0","0","0","0","1","0","0","3","1","1","0","1","1","2","6","3","3","5","2","4","9","9","5","2","11","2","3","10","5","7","6","6","0","0"
"31","2259098","YUCATAN","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","1","2","0","0","2","0","0","1","0","2","1","1","0","1","1","3","1","4","2","1","0","1","3","2","1","1","2","1","1","6","1","3","0"
"32","1666426","ZACATECAS","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","1","0","0","1","1","1","1","1","1","3","3","1","1","0","0","0"